Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2014-08-28,1,500.00,75000.00,150.00,150.00,150.00
2014-08-31,4,2000.00,315500.00,163.00,153.00,163.00
2014-09-01,3,1200.00,201900.00,172.00,166.00,172.00
2014-09-03,1,500.00,87500.00,175.00,175.00,175.00
2014-09-17,2,100.00,17800.00,178.00,178.00,178.00
2014-09-22,1,500.00,89000.00,178.00,178.00,178.00
2014-10-13,1,210.00,37380.00,178.00,178.00,178.00
2014-10-14,1,3000.00,534000.00,178.00,178.00,178.00
2014-11-10,6,60.00,10060.00,175.00,161.00,161.00
2014-11-11,6,590.00,86990.00,158.00,147.00,147.00
2014-11-12,1,110.00,15950.00,145.00,145.00,145.00
2014-11-17,2,100.00,14700.00,147.00,147.00,147.00
2014-12-01,8,510.00,72730.00,145.00,141.00,141.00
2014-12-02,13,5760.00,778490.00,140.00,130.00,140.00
2014-12-03,3,10880.00,1481440.00,138.00,136.00,136.00
2014-12-04,2,2000.00,276000.00,138.00,138.00,138.00
2014-12-07,6,2740.00,379060.00,139.00,135.00,139.00
2014-12-08,1,500.00,70500.00,141.00,141.00,141.00
2014-12-09,3,150.00,21750.00,147.00,143.00,147.00
2014-12-10,3,250.00,36350.00,147.00,145.00,147.00
2014-12-15,5,2150.00,313650.00,150.00,145.00,145.00
2014-12-16,3,600.00,85900.00,145.00,143.00,143.00
2014-12-22,1,120.00,17160.00,143.00,143.00,143.00
2014-12-23,2,130.00,18360.00,142.00,140.00,140.00
2015-01-05,1,50.00,6900.00,138.00,138.00,138.00
2015-01-06,4,650.00,88200.00,136.00,134.00,134.00
2015-01-12,1,110.00,14520.00,132.00,132.00,132.00
2015-01-14,1,60.00,7800.00,130.00,130.00,130.00
2015-01-18,1,1000.00,132000.00,132.00,132.00,132.00
2015-01-19,1,300.00,40200.00,134.00,134.00,134.00
2015-01-22,1,300.00,40800.00,136.00,136.00,136.00
2015-01-25,1,500.00,69000.00,138.00,138.00,138.00
2015-01-26,4,440.00,62920.00,146.00,140.00,146.00
2015-01-27,2,890.00,131920.00,150.00,148.00,150.00
2015-01-29,4,1560.00,241060.00,161.00,153.00,161.00
2015-02-02,11,4010.00,663450.00,170.00,164.00,164.00
2015-02-03,2,550.00,88550.00,161.00,161.00,161.00
2015-02-04,2,1500.00,238500.00,160.00,157.00,157.00
2015-02-08,1,2000.00,308000.00,154.00,154.00,154.00
2015-02-09,1,100.00,15100.00,151.00,151.00,151.00
2015-02-10,3,6300.00,927100.00,149.00,147.00,147.00
2015-02-18,1,350.00,52150.00,149.00,149.00,149.00
2015-02-23,2,3000.00,450000.00,150.00,150.00,150.00
2015-02-25,1,130.00,19890.00,153.00,153.00,153.00
2015-03-01,1,120.00,18720.00,156.00,156.00,156.00
2015-03-04,4,2940.00,458943.00,159.00,156.00,156.00
2015-03-09,3,150.00,24300.00,165.00,159.00,165.00
2015-03-10,2,12500.00,2027500.00,163.00,162.00,163.00
2015-03-11,1,540.00,89640.00,166.00,166.00,166.00
2015-03-15,6,1000.00,181270.00,182.00,169.00,182.00
2015-03-16,27,10500.00,1909950.00,200.00,179.00,179.00
2015-03-17,1,500.00,90000.00,180.00,180.00,180.00
2015-03-18,4,1210.00,214170.00,177.00,177.00,177.00
2015-03-19,1,500.00,87000.00,174.00,174.00,174.00
2015-03-25,1,50.00,8550.00,171.00,171.00,171.00
