Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-06-22,2,200.00,21400.00,107.00,107.00,107.00
2010-07-05,4,44.00,4708.00,109.00,105.00,105.00
2010-07-11,1,22.00,2354.00,107.00,107.00,107.00
2010-07-28,1,77.00,8393.00,109.00,109.00,109.00
2010-08-02,5,80.00,8800.00,110.00,110.00,110.00
2010-08-08,1,252.00,28224.00,112.00,112.00,112.00
2010-08-11,1,200.00,22800.00,114.00,114.00,114.00
2010-08-17,5,154.00,17589.00,115.00,114.00,115.00
2010-08-22,1,44.00,5148.00,117.00,117.00,117.00
2010-08-30,3,33.00,3927.00,119.00,119.00,119.00
2010-09-05,1,8152.00,986392.00,121.00,121.00,121.00
2010-09-08,1,8152.00,986392.00,121.00,121.00,121.00
2010-09-09,1,8152.00,986392.00,121.00,121.00,121.00
2010-09-14,3,110.00,13310.00,121.00,121.00,121.00
2010-09-19,1,8152.00,986392.00,121.00,121.00,121.00
2010-09-26,1,22.00,2662.00,121.00,121.00,121.00
2010-10-28,7,110.00,13200.00,120.00,120.00,120.00
2010-11-21,1,640.00,76800.00,120.00,120.00,120.00
2010-11-22,2,220.00,26400.00,120.00,120.00,120.00
2010-12-12,1,22.00,2596.00,118.00,118.00,118.00
2011-01-13,1,8152.00,961936.00,118.00,118.00,118.00
2011-02-14,1,8152.00,961936.00,118.00,118.00,118.00
2011-03-24,1,886.00,104548.00,118.00,118.00,118.00
2011-03-27,1,76.00,8968.00,118.00,118.00,118.00
2011-03-29,3,264.00,31152.00,118.00,118.00,118.00
2012-08-28,9,620.00,64290.00,107.00,100.00,100.00
2012-08-29,9,896.00,98220.00,110.00,102.00,110.00
2012-08-30,7,468.00,54673.00,121.00,112.00,121.00
2012-09-02,13,1651.00,200434.00,127.00,118.00,118.00
2012-09-05,2,46.00,5290.00,116.00,114.00,114.00
2012-09-06,6,946.00,103666.00,112.00,106.00,108.00
2012-09-09,3,167.00,18370.00,110.00,110.00,110.00
2012-09-11,8,436.00,46649.00,110.00,106.00,110.00
2012-09-13,2,46.00,5152.00,112.00,112.00,112.00
2012-09-16,6,870.00,97498.00,114.00,110.00,114.00
2012-09-17,4,740.00,85081.00,116.00,114.00,116.00
2012-09-18,3,570.00,67306.00,120.00,118.00,118.00
2012-09-20,3,136.00,15688.00,116.00,114.00,116.00
2012-10-02,3,10758.00,1257833.00,117.00,114.00,114.00
2012-10-03,1,23.00,2576.00,112.00,112.00,112.00
2012-10-04,6,254.00,27940.00,110.00,110.00,110.00
2012-10-07,8,622.00,73560.00,120.00,112.00,118.00
2012-10-08,3,531.00,62489.00,119.00,116.00,119.00
2012-10-09,10,1479.00,183013.00,129.00,121.00,128.00
2012-10-10,1,23.00,2990.00,130.00,130.00,130.00
2012-10-15,3,185.00,23312.00,128.00,124.00,124.00
2012-10-30,1,100.00,12200.00,122.00,122.00,122.00
2012-10-31,1,39.00,4680.00,120.00,120.00,120.00
2012-11-06,1,24.00,2832.00,118.00,118.00,118.00
2012-11-20,1,13.00,1508.00,116.00,116.00,116.00
2012-11-27,1,100.00,11400.00,114.00,114.00,114.00
2012-12-10,1,400.00,44800.00,112.00,112.00,112.00
2013-01-07,4,503.00,54731.00,109.00,107.00,109.00
